Configuration,Task Type,Completion Time,Code Quality,Error Count,Communication Efficiency,Delegation Accuracy,Coordination Overhead,Synergy Effects,Notes
gemini_research_claude_plan_codex_code,bug_fixing,29.03,8.76,2,0.72,0.72,0.24,0.32,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,bug_fixing,26.77,7.93,1,0.87,0.84,0.21,0.28,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,bug_fixing,11.32,8.95,0,0.97,0.71,0.15,0.29,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,bug_fixing,19.83,9.18,0,0.93,0.75,0.14,0.21,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,code_review,27.0,8.74,2,1.0,1.0,0.11,0.47,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,code_review,23.02,9.12,2,0.91,0.99,0.21,0.24,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,code_review,27.42,9.12,1,0.85,0.85,0.11,0.24,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,code_review,24.72,7.09,0,0.78,0.94,0.29,0.23,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,code_review,18.41,9.0,1,0.76,0.73,0.26,0.43,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,documentation_generation,29.13,9.12,2,0.77,0.8,0.1,0.17,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,documentation_generation,27.01,8.14,0,0.85,0.86,0.28,0.27,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,documentation_generation,12.26,8.32,2,0.96,0.87,0.22,0.5,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,documentation_generation,11.82,9.97,0,0.9,0.77,0.2,0.4,Auto-generated entry on 2025-06-11 05:53
gemini_research_claude_plan_codex_code,documentation_generation,9.05,8.48,0,0.77,0.98,0.16,0.48,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,simple_function_creation,10.67,8.51,1,0.8,0.9,0.16,0.32,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,simple_function_creation,11.25,8.04,2,0.97,0.86,0.16,0.34,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,simple_function_creation,16.06,8.46,0,0.97,0.96,0.15,0.12,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,simple_function_creation,26.65,8.0,1,0.88,0.93,0.14,0.1,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,simple_function_creation,13.93,7.09,0,0.71,0.74,0.15,0.36,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,bug_fixing,5.41,9.28,1,0.78,0.75,0.12,0.37,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,bug_fixing,11.51,7.05,0,0.74,0.99,0.17,0.33,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,bug_fixing,14.72,9.48,0,0.81,0.8,0.29,0.36,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,bug_fixing,21.7,9.61,0,0.9,0.74,0.26,0.21,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,bug_fixing,5.0,8.59,2,0.74,0.84,0.27,0.45,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,code_review,17.13,7.87,2,0.98,0.7,0.16,0.14,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,code_review,21.38,7.41,1,0.74,0.91,0.27,0.31,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,code_review,21.53,7.76,0,0.84,0.89,0.28,0.35,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,code_review,25.14,8.4,1,0.95,0.8,0.23,0.24,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,code_review,11.97,8.71,1,0.79,0.94,0.15,0.31,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,documentation_generation,28.47,8.11,0,0.92,0.73,0.28,0.49,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,documentation_generation,18.92,7.45,0,0.98,0.84,0.18,0.39,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,documentation_generation,16.16,7.95,0,0.74,0.85,0.12,0.42,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,documentation_generation,14.25,8.41,1,0.93,0.95,0.14,0.14,Auto-generated entry on 2025-06-11 05:53
all_three_collaborative,documentation_generation,17.55,7.02,0,0.98,0.82,0.21,0.48,Auto-generated entry on 2025-06-11 05:53
